,Y,Y_RF,sig_1,pos_1,bal_1,sig_2,pos_2,bal_2,sig_3,pos_3,bal_3
148,169.0,169.3124380620573,1.0,1.0,997360.0,1.0,0.0,1003205.0,-1.0,-1.0,1026825.0
149,170.0,170.95958649128565,1.0,1.0,998360.0,1.0,0.0,1003205.0,-1.0,-1.0,1028000.0
150,172.22,170.6170859033971,-1.0,-1.0,999170.0,-1.0,-1.0,1004015.0,-1.0,-1.0,1027300.0
151,170.5,169.5846040270817,-1.0,-1.0,998895.0,-1.0,0.0,1004015.0,-1.0,-1.0,1027525.0
152,170.69,170.7271553988426,1.0,1.0,996840.0,1.0,1.0,1001960.0,-1.0,-1.0,1025290.0
153,166.56,171.22412833795136,1.0,1.0,997635.0,1.0,0.0,1001960.0,-1.0,-1.0,1026075.0
154,169.2,170.45877614368908,1.0,1.0,998530.0,1.0,0.0,1001960.0,-1.0,-1.0,1027495.0
155,171.25,169.84956435339504,-1.0,-1.0,998705.0,-1.0,-1.0,1002135.0,-1.0,-1.0,1027450.0
156,171.05,171.24235306842527,1.0,1.0,998050.0,1.0,1.0,1001480.0,-1.0,-1.0,1026870.0
157,170.0,170.75733249132887,1.0,1.0,996430.0,1.0,0.0,1001480.0,-1.0,-1.0,1025380.0
158,167.02,169.81084730786182,1.0,1.0,996620.0,1.0,0.0,1001480.0,-1.0,-1.0,1025700.0
159,167.0,166.94852775471006,-1.0,-1.0,996200.0,-1.0,-1.0,1001060.0,-1.0,-1.0,1025920.0
160,168.25,167.51777885947953,-1.0,-1.0,995425.0,-1.0,0.0,1001060.0,-1.0,-1.0,1026900.0
161,169.5,169.302255114777,-1.0,-1.0,996065.0,-1.0,0.0,1001060.0,-1.0,-1.0,1026110.0
162,169.15,169.60297152208352,1.0,1.0,995250.0,1.0,1.0,1000245.0,-1.0,-1.0,1025760.0
163,167.88,168.3984752114376,1.0,1.0,994350.0,1.0,0.0,1000245.0,-1.0,-1.0,1025040.0
164,166.0,167.7236833434077,1.0,1.0,994575.0,1.0,0.0,1000245.0,-1.0,-1.0,1025225.0
165,165.4,166.16404485878783,1.0,1.0,996045.0,1.0,0.0,1000245.0,-1.0,-1.0,1026170.0
166,168.5,168.01144755441135,-1.0,-1.0,995365.0,-1.0,-1.0,999565.0,-1.0,-1.0,1026930.0
167,170.23,168.556673192752,-1.0,-1.0,994480.0,-1.0,0.0,999565.0,-1.0,-1.0,1028000.0
168,172.02,170.0241322545003,-1.0,-1.0,994395.0,-1.0,0.0,999565.0,-1.0,-1.0,1028095.0
169,171.8,172.1209544797761,1.0,1.0,993890.0,1.0,1.0,999060.0,-1.0,-1.0,1027395.0
170,171.11,171.27659051887235,1.0,1.0,994235.0,1.0,0.0,999060.0,-1.0,-1.0,1027900.0
171,171.95,171.4220162595631,-1.0,-1.0,993645.0,-1.0,-1.0,998470.0,-1.0,-1.0,1028565.0
172,172.98,172.6804943824077,-1.0,-1.0,994660.0,-1.0,0.0,998470.0,-1.0,-1.0,1027475.0
173,172.08,172.6008770489559,1.0,1.0,995375.0,1.0,1.0,999185.0,-1.0,-1.0,1028755.0
